(U+0077)	77	feff0077	LATIN SMALL LETTER W
(U+0078)	78	feff0078	LATIN SMALL LETTER X
(U+0079)	79	feff0079	LATIN SMALL LETTER Y
(U+007A)	7a	feff007a	LATIN SMALL LETTER Z
(U+007B)	7b	feff007b	LEFT CURLY BRACKET
(U+007C)	7c	feff007c	VERTICAL LINE
(U+007D)	7d	feff007d	RIGHT CURLY BRACKET
(U+007E)	7e	feff007e	TILDE
(U+007F)	7f	feff007f	DELETE
(U+0080)	c280	feff0080	<control>
(U+0081)	c281	feff0081	<control>
(U+0082)	c282	feff0082	BREAK PERMITTED HERE
(U+0083)	c283	feff0083	NO BREAK HERE
(U+0084)	c284	feff0084	<control>
(U+0085)	c285	feff0085	NEXT LINE (NEL)
(U+0086)	c286	feff0086	START OF SELECTED AREA
(U+0087)	c287	feff0087	END OF SELECTED AREA
(U+0088)	c288	feff0088	CHARACTER TABULATION SET
(U+0089)	c289	feff0089	CHARACTER TABULATION WITH JUSTIFICATION
(U+008A)	c28a	feff008a	LINE TABULATION SET
(U+008B)	c28b	feff008b	PARTIAL LINE FORWARD
(U+008C)	c28c	feff008c	PARTIAL LINE BACKWARD
(U+008D)	c28d	feff008d	REVERSE LINE FEED
(U+008E)	c28e	feff008e	SINGLE SHIFT TWO
(U+008F)	c28f	feff008f	SINGLE SHIFT THREE
(U+0090)	c290	feff0090	DEVICE CONTROL STRING
(U+0091)	c291	feff0091	PRIVATE USE ONE
(U+0092)	c292	feff0092	PRIVATE USE TWO
(U+0093)	c293	feff0093	SET TRANSMIT STATE
(U+0094)	c294	feff0094	CANCEL CHARACTER
(U+0095)	c295	feff0095	MESSAGE WAITING
(U+0096)	c296	feff0096	START OF GUARDED AREA
(U+0097)	c297	feff0097	END OF GUARDED AREA
(U+0098)	c298	feff0098	START OF STRING
(U+0099)	c299	feff0099	<control>
(U+009A)	c29a	feff009a	SINGLE CHARACTER INTRODUCER
(U+009B)	c29b	feff009b	CONTROL SEQUENCE INTRODUCER
(U+009C)	c29c	feff009c	STRING TERMINATOR
(U+009D)	c29d	feff009d	OPERATING SYSTEM COMMAND
(U+009E)	c29e	feff009e	PRIVACY MESSAGE
(U+009F)	c29f	feff009f	APPLICATION PROGRAM COMMAND
(U+00A0)	c2a0	feff00a0	NO-BREAK SPACE
(U+00A1)	c2a1	feff00a1	INVERTED EXCLAMATION MARK
(U+00A2)	c2a2	feff00a2	CENT SIGN
(U+00A3)	c2a3	feff00a3	POUND SIGN
(U+00A4)	c2a4	feff00a4	CURRENCY SIGN
(U+00A5)	c2a5	feff00a5	YEN SIGN
(U+00A6)	c2a6	feff00a6	BROKEN BAR
(U+00A7)	c2a7	feff00a7	SECTION SIGN
(U+00A8)	c2a8	feff00a8	DIAERESIS
(U+00A9)	c2a9	feff00a9	COPYRIGHT SIGN
(U+00AA)	c2aa	feff00aa	FEMININE ORDINAL INDICATOR
(U+00AB)	c2ab	feff00ab	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
(U+00AC)	c2ac	feff00ac	NOT SIGN
(U+00AD)	c2ad	feff00ad	SOFT HYPHEN
(U+00AE)	c2ae	feff00ae	REGISTERED SIGN
(U+00AF)	c2af	feff00af	MACRON
(U+00B0)	c2b0	feff00b0	DEGREE SIGN
(U+00B1)	c2b1	feff00b1	PLUS-MINUS SIGN
(U+00B2)	c2b2	feff00b2	SUPERSCRIPT TWO
(U+00B3)	c2b3	feff00b3	SUPERSCRIPT THREE
(U+00B4)	c2b4	feff00b4	ACUTE ACCENT
(U+00B5)	c2b5	feff00b5	MICRO SIGN
(U+00B6)	c2b6	feff00b6	PILCROW SIGN
(U+00B7)	c2b7	feff00b7	MIDDLE DOT
